Review_Text,Sentiment_Class,,,
ട 23 Ultra heating issue ഉണ്ട് but കുറവാണ് എന്നാലും അത്യാവശ്യം ഉണ്ട് എന്നാൽ എല്ലായി പോയും ഇല്ല ...കഴിഞ്ഞ month update ചെയ്തത് മുതൽ battry drain issue ഉണ്ട്  full day normal use 100% കിട്ടുന്നുണ്ട്...bugg ഉണ്ട് camara click button lag ഉണ്ട്.my own -ves .അല്ലാതെ വെറെ issue ഒന്നും കണ്ടില്ല. ഇനി warranty  കഴിഞാൻ Samsung അതിന്റെ സ്വഭാവം കണിക്കും Samsung  user ക്ക് മനസിലവും അതും flagship Phone use ചെയ്യുന്നവർക്ക്,Mixed Feelings,,,
23ultra എടുക്കാൻവേണ്ടി ഷോപ്പിൽ പോയതാണ്... ഓവർ വലിപ്പം തോന്നി.. പ്രത്യേകിച്ച് കാമറ റിങ്ങൊക്കെ വല്ലാതെ തള്ളി നിൽക്കുന്നു.. ഭാരവും നല്ലോണമുണ്ട്.. പിന്നെ ഒന്നും നോക്കിയില്ല ഉള്ളതിൽ കുഞ്ഞനായ s23 എടുത്തു... അടിപൊളി.. ഉപയോഗിക്കാൻ എന്തൊരു സുഖമാണെന്നോ... അപ്ഗ്രേഡ് ഓഫർ ഉള്ളതിനാൽ 70k ക്ക് കിട്ടി...,Mixed Feelings,,,
കയ്യിൽ എടുത്ത് നോക്കിയിരുന്നു premium look 🔥 flagship 😍.പക്ഷെ കയ്യിൽ ഇരിക്കില്ല...😉,Mixed Feelings,,,
"എല്ലാം കൊള്ളാം... സാംസങ്....ബാറ്ററിയുടെ കാര്യത്തിൽ ഇനിയും സാംസങ് മുൻപോട്ട് പോവേണ്ടതുണ്ട്... എന്നാണ് എന്റെ ഒരിത്... അത് കൂടി ക്ലിയർ ചെയ്‌താൽ സാംസങ്... പൊളി പൊളി!..ലക്ഷങ്ങൾ വില... ചാർജ്ജർ ഇല്ല, ഇയർഫോൺ ഇല്ല... പിന്നെ എന്തിനു ഇത്രയും വില.... ഒൺലി ബ്രാൻഡ് നെയിം വെച്ചുള്ള കളികൾ.... അല്ല വാങ്ങുവാൻ ആളുകൾ ഉള്ളപ്പോൾ ഇനിയു കളികൾ തുടരും!",Mixed Feelings,,,
സംഭവം കൊള്ളാം .. .പക്ഷെ..ഒന്ന് താഴെവീണ്Displayപോയാൽ .കഴിഞ്ഞു കഥ,Mixed Feelings,,,
Price കേട്ടപ്പോൾ ഒന്ന് ഞെട്ടി phone .Kidu👏🏻👏🏻👏🏻👌🏼👌🏼👌🏼,Mixed Feelings,,,
Galaxy s21 ultra vaanganamennulla മോഹവുമായി കുറെ നാളായി  ഇപ്പൊ S22  കണ്ടപ്പോ അത് വാങ്ങാൻ ആഗ്രഹിക്കുന്നു use ചെയ്തിട്ടുള്ള video ഉടൻ പ്രതീക്ഷിക്കുന്നു  Samsung ഫോണുകളെല്ലം ഒരേ പോളിയല്ലെ  പക്ഷേ ഇതിൻ്റെ ഒക്കെ price ആണ് വിഷയം സാതരകാരന്  വാങ്ങാൻ കുറച്ചു ബുദ്ധിമുട്ടാണ്😌😌😌,Mixed Feelings,,,
Ntea kayyil s23 aanu 2 month aayi meadichitt poli phone but ഹീറ്റ് aavanund 🥲,Mixed Feelings,,,
Performance  എല്ലാം അടിപൊളി യാണ് ..But battery backup one day കിട്ടണമെങ്കിൽ Screen Time അത്രയും കുറവായിരിക്കണം.Max Screen Time 4.5 hr ..No gaming .No 5 g.Only Social Media using.എന്നിട്ടും Heating Undd ..100% ഉണ്ടങ്കിൽ നമുക്ക് കിട്ടാവുന്ന Maximum Screen Time .6.30 Hr ..Go for S23 plus..Wifi ആണെങ്കിൽ കുറച്ചു കൂടി backup kittum,Mixed Feelings,,,
രണ്ടും കൊള്ളാം.Pakshe oru twist ond.S22ultra cheriya worm aavum.Pakshe good s23...Randum kollam........നിങ്ങളുടെ  ഇഷ്ട്ടം 😜,Mixed Feelings,,,
Photographyക്ക് നോക്കുന്നവർ നോക്കി എടുക്കുക.Hyperlapes 30 fps ആണ്.. 30 മിനുറ്റ് full brightness കുറഞ്ഞു hyperlapes എടുത്തു set ചെറുതായി ചൂടാവുന്നുണ്ട്.. photo 3x പൊളി...,Mixed Feelings,,,
ഓ സാംസങ് ആണോ അതു lag ആണ് പക്ഷെ worldil ഏറ്റവും sale ആപ്പിൾ &amp; സാംസങ് റേഞ്ച് 🥰🥰🥰🥰,Mixed Feelings,,,
@Batman_94  ഞാൻ പറഞ്ഞല്ലോ ബ്രോ chipset അടിപൊളി ആണ് ബാക്കിയുള്ള specs വെത്യാസം ഇല്ലെന്നാണ് ഞാൻ പറഞ്ഞത് innovetions peak leval എത്താറായി,Mixed Feelings,,,
S22 സീരിസും s23 തമ്മിൽ വലിയ വെത്യാസം ഇല്ല...... S24 വരുമ്പോൾ നല്ലൊരു upgread പ്രതീക്ഷിക്കുന്നു.... ❤️  [ chip set മാറ്റി നിർത്തിയാൽ ],Mixed Feelings,,,
"Mrwhostheboss ന്റെ unboxing ങ്ങും കണ്ടു. പുള്ളി പറഞ്ഞത് apple airpod നെക്കാളും നല്ല സൗണ്ട് ക്വാളിറ്റിയും, comfort ഉം ഇതിനാണെന്നാണ്. ഒരെണ്ണം വാങ്ങണം എന്നുണ്ട്, പക്ഷെ കയ്യിൽ കാശില്ല.😊",Mixed Feelings,,,
Marquez brownlee video കണ്ടതേ ഒള്ളു. Kuzappamilla എന്നാണ്‌ പറയുന്നത്‌ hype അനുസരിച്ച് ഇല്ല എന്നാണ്‌,Mixed Feelings,,,
Mic ൻറെ കാര്യത്തിൽ എനിക്കും സംശയമുണ്ടായിരുന്നു വാങ്ങിക്കുമ്പോൾ പക്ഷേ ഉപയോഗിച്ചു തുടങ്ങിയപ്പോൾ മനസ്സിലായി അതൊരു വിഷയമേയല്ല. മൈക്ക് നിങ്ങൾ പറഞ്ഞ പോലെ മൗത്ത് പീസിൽ നിന്നല്ല വോയ്സ് caputure ചെയ്യുന്നത്. Buds ൻ്റെ ഉള്ളിൽ ഉൾഭാഗത്തുള്ള sensors വഴി ഉള്ളിലൂടെ ആണ് വോയിസ് ക്യാപ്ചർ ചെയ്യുന്നത് അതുകൊണ്ടാണ് മുഴക്കം. പക്ഷേ സൗണ്ട് കോളിറ്റിയിൽ കോംപ്രമൈസ് ഒന്നുമില്ല.,Mixed Feelings,,,
Xiaomi yude ഫോണിൽ pairing cheythath കൊണ്ടാണ് ഇത്രയും കിടു ആയി കിട്ടിയത്... Samsiungil ഇത്രയും കിട്ടില്ല,Mixed Feelings,,,
എന്റെ കയ്യിൽ ഉണ്ട് galaxy buds pro (6599 rs)😎😎ഒരൊറ്റ പ്രശ്നമേ ഉള്ളൂ 😕😕case just ഒന്ന് ഒരഞ്ഞ എടുത്ത് കാണിക്കും 🥱🥱🔥🔥case കവർ വാങ്ങിച്ചു ഇട്ട് ഇപ്പോ no problom🔥🔥1 year ന്റെ മുകളിൽ ആയി ഇത് വരെ കുഴപ്പങ്ങൾ ഒന്നും ഇല്ല sound കിടിലം anc ഒക്കെ ചുമ്മാ 🔥🔥,Mixed Feelings,,,
ഈ tws റൂമിൽ ഇരുന്നു call ചെയ്തു വിളിച്ചാൽ ക്ലാരിറ്റി കാണും.... പുറത്തിറങ്ങി road സൈഡിൽ നിന്നോ സിറ്റിയിൽ നിന്നോ കാൾ ചെയ്യുക അല്ലേൽ ബസിൽ... ഒന്നും കേൾക്കില്ല.... വീട്ടിൽ ഇരുന്നു വിളിച്ചിട്ട് ക്ലാരിറ്റി ചെക്ക് ചെയ്തിട്ടു കാര്യമില്ല... പിന്നെ പാട്ട് കേൾക്കാൻ കൊള്ളാം...,Mixed Feelings,,,
ആശിച്ച് മോഹിച് റിവ്യൂ എല്ലാം നോക്കി JBL LIVE 660 NC എന്ന ഓവർഹെഡ് ഹെഡ്ഫോൺ വാങ്ങി.. ആദ്യം വിചാരിച്ചു ഫോണിൽ ഈക്വലൈസറിന്റെയോ അല്ലെങ്കിൽ JBL അപ്പിന്റെ വല്ല പ്രശ്നമായിരിക്കുമെന്നാണ്.. ശേഷം വാങ്ങിയ കടയിൽ തന്നെ പോയി കാര്യം പറഞ്ഞു അവർക്ക് കേൾപ്പിച്ചു കൊടുത്തു .. വളരെ മോശം എക്സ്പീരിയൻസ് ആയിരുന്നു.. റൈറ്റ് സൈഡിലെ സ്പീക്കർ ഓവർബാസ് വന്ന് ചിതറുകയായിരുന്നു.. റിട്ടേൺ കൊടുത്തു വീണ്ടും പുതിയത് വന്നു.. അതേ പ്രശ്നം വീണ്ടും ആവർത്തിച്ചു.. വീണ്ടും JBL സർവീസ് സെന്ററിൽ പോയി അവരെ വീണ്ടും അത് ബോധ്യപ്പെടുത്തി രണ്ടാമത്തെ ഹെഡ് ഫോണാണ് ഇതേ പ്രശ്നം വീണ്ടും വരുന്നത്.. അവർ അവരുടെ ഫോണിലും കണക്ട് ചെയ്തു നോക്കി അതേ ഇഷ്യൂ വീണ്ടും കാണിച്ചു.. റിട്ടേൺ എടുത്തു വീണ്ടും പുതിയത് അയച്ചുതന്നു ഇപ്പോഴും ആ പ്രശ്നം അതിനുണ്ട് റീഫണ്ട് ഓപ്ഷൻ ഇല്ലാത്തതിനാൽ ഒന്നും ചെയ്യാനും പറ്റുന്നില്ല.. ഇടയ്ക്ക് വല്ലപ്പോഴും ഒരു മനസ്സമാധാനം കിട്ടാൻ ഉപയോഗിക്കും.. ഏറ്റവും കൂടുതൽ പ്രശ്നം തോന്നിയിട്ടുള്ളത് ഹെഡ്ഫോൺ വെച്ച് കിടന്നു പാട്ട് കേൾക്കുമ്പോൾ ആണ്.. കോൾ കോളിറ്റിയും ANC യും എല്ലാം അടിപൊളിയാണ് പക്ഷേ സ്പീക്കർ ചിതറുന്നത് ഒരു വല്ലാത്ത എക്സ്പീരിയൻസ് ആയിരുന്നു തന്നത്.. ബിൽഡ് ക്വാളിറ്റിയും ഡിസൈനും എല്ലാം നന്നായായിരുന്നു പക്ഷേ ഇങ്ങനെ ഒരു പണി ഒരിക്കലും പ്രതീക്ഷിച്ചിരുന്നില്ല.. ഒന്നും ചെയ്യാനും പറ്റില്ല.. ഹെഡ് ഫോണുകൾ എടുക്കുമ്പോൾ പരമാവധി കേട്ട് നോക്കി എടുക്കാൻ ശ്രമിക്കുക എന്ന് മാത്രമേ എല്ലാവരോടും പറയാനുള്ളൂ.. നമ്മുടെ നാട്ടിൽ അതിനുള്ള ഓപ്ഷൻ വളരെ കുറവുമാണ് എന്നത് മറ്റൊരു യാഥാർത്ഥ്യമാണ്..,Mixed Feelings,,,
പണ്ട് tune 500 ഉണ്ടായിരുന്നു കിടിലൻ സാധനം ആണ് വാരന്റി തീരുന്നതിനു 2 ദിവസം മുന്നേ ഒരു സൈഡ് dead ആയി. സർവീസ് സെന്റർ പോവാൻ നോക്കിയപ്പോ ആയിരുന്നു ആദ്യത്തെ lockdown. പിന്നത്തെ കാര്യം സ്വാഹ,Mixed Feelings,,,
"I&#39;m using soundcore, single buds 9hrs കിട്ടുന്നുണ്ട് with case almost 90hrs കിട്ടും ആകെ ഉള്ള പ്രശ്നം mic തീരെ പോര എന്നതാണ്",Mixed Feelings,,,
@നട്ടപ്രാന്തൻ gaming illel MacBook aanu better . But storege 256 pora i cloud undel kuzhappam illa,Mixed Feelings,,,
മച്ചാനെ ഞാൻ വാങ്ങി വീഡിയോ കോൾ ചെയ്യുമ്പോൾ ചെറിയ ഹീറ്റ് ഇഷ്യു ഉണ്ട് തല കുത്തി നോക്കിയിട്ട് ആപ്പ് ഒന്നും ഓർഡർ ൽ വെക്കാൻ ഉള്ള മാർഗം ഒന്നും ഇല്ല അവിടെ ഇവിടെ ഒക്കെ കിടക്കും ഫ്രണ്ട് ക്യാമറ ബാഡ് ചാർജിങ് ടൈം naice ആയി ഹീറ്റ് ഉണ്ട് അത് അടാപ്റ്ററിനു ഉണ്ട് ഓഫ് ചെയ്യ്തു ചെയ്താൽ 1 മിനിറ്റിൽ 3 പ്രസന്റെജ് കേറും സൗണ്ട് നൈസ്,Mixed Feelings,,,
"പ്രശ്നം ഇതൊന്നും അല്ലാ ഞാൻ ഉപയോഗിക്കുന്നത് Motorolla Edge 20 Lite ആണ്, ഫോൺ പെർോർമൻസ് base ഒക്കെ പക്കാ സാധനം ആണെങ്കിലും സർവീസ് ഇന്ത്യയിൽ ഇല്ലാത്തതാണ് ഏറ്റവും വലിയ പ്രശ്നം.😢😢😢 എൻ്റെ display August aavumbo oru വർഷം ആവുന്നു അന്ന് display nokk തുടങ്ങിയതാണ് ഇന്ന് വരെ കിട്ടീട്ടില്ല 😢😢😢😢😔😭",Mixed Feelings,,,
"🎯Bro മോട്ടോറോള ഫോൺ ഒക്കെ അടിപൊളി തന്നെയാണ്. പക്ഷേ no service. എൻറെ Motorola edge 20 fusion phone screen പൊട്ടി. ഇടാൻ കേരളം മൊത്തം Motorola സർവീസ് സെൻറിൽ വിളിച്ചുചോദിച്ചു. ഒരിടത്തും സർവീസ് സെൻറ്ററിൽ പോലും സ്ക്രീൻ ഇല്ലാ എന്ന്. പുതിയ ഫോൺ ആണ്. ഒരു വർഷം പോലും ആയിട്ടില്ലായിരുന്നു. എന്നിട്ട് പോലും സ്ക്രീൻ അവൈലബിൾ അല്ലാ. പിന്നെ ഏറ്റവും വലിയ പ്രശ്നം വളരെ മോശം Camera അണ്. ഞാനിപ്പോൾ ഉപയോഗിക്കുന്ന 14,000₹ യൂടെ Samsung M14ൻ്റെ ക്യാമറയുടെ പാതി കോളിറ്റി ഉണ്ടായിരുന്നില്ല ഞാൻ ഒരു വർഷം മുമ്പ് എടുത്ത Motorola edge 20 fusionന്. കൂടാതെ നല്ല ഹാങ് ആവുന്നു ഉണ്ടായിരുന്നു ഒരു വർഷം കഴിഞ്ഞപ്പോൾ തന്നേ. ഇനി samsung മാത്രമേ ഞാൻ എടുക്കുന്നുള്ളൂ. എവിടെ തിരിഞ്ഞാലും സർവീസ് സെൻറർ ഉണ്ടല്ലൊ. പോരാത്തതിന് നല്ല കിടിലൻ camera. Performanceസും നല്ലതാണ്.🎯",Mixed Feelings,,,
ബ്രോ ഞാൻ edge30 യും moto g 82 ഉം തമ്മിൽ നോക്കിയപ്പോ camra edge 30 ൽ ആണ് നല്ലതായി തോന്നിയത്. പക്ഷെ ബാറ്ററി 4020 ഉള്ളു. മാത്രമല്ല ഫോണിന് ഒട്ടും weight തോന്നിയില്ല. ജീൻസിന്റ പോക്കറ്റിൽ ഒക്കെ ഇട്ടാൽ വളയുമോ എന്നൊരു പേടിയുണ്ട്.,Mixed Feelings,,,
Prathap bro ഇതു എടുത്താൽ പണി ആകുമോ എനിക്ക് moto phn ഇഷ്ടം ആണ്‌ ഡിസൈൻ പണ്ട് wife moto phn എടുത്തു പണി കിട്ടിട്ടു ഉണ്ട് അതാ ഒരു പേടി. പിന്നെ ഞാൻ ഒരു games കളിക്കുന്ന ആള് അല്ല.എടുത്താൽ കൊള്ളാം എന്ന് ഉണ്ട് reply me,Mixed Feelings,,,
"ഞാൻ ഒരു വർഷം ആയി ഉപയോഗിക്കുന്നു, ഇതു വരെ ഒരു കുഴപ്പവും തോന്നിയില്ല, ഞാൻ അധികവും fb, whats App, you tube എന്നീ സോഷ്യൽ മീഡിയകളാണ് ഉപയോഗിക്കാറുള്ളത്, പിന്നെ പ്രതാപ് ചേട്ടൻ പറഞ്ഞത് സത്യമാണ് ഫാസ്റ്റ് ചർജിങ് ഒന്നും അല്ല, കൂടിയാൽ മൂന്ന് മണിക്കൂർ എടുക്കുന്നു 100 % ആവണമെങ്കിൽ ...",Mixed Feelings,,,
"എല്ലാം കൊള്ളാം, camera കൊള്ളില്ല. എല്ലാ infinix ഫോണും ഇത് തന്നെ അവസ്ഥ",Mixed Feelings,,,
ഞാൻ ഒരു infinix യൂസർ ആണ്. I Love it. Service ന്റെ കാര്യത്തിൽ മാത്രമേ -ve ഉള്ളു. Spare കിട്ടാനും കുറച്ച് ബുദ്ധിമുട്ട് ആണ്. Phone കുറേകാലം ഉപയോഗിക്കാം ഒരു പ്രശ്നവും ഇല്ലാതെ.❤,Mixed Feelings,,,
"Infinix 📱 supr aanu സർവീസ് ആണ് ശോകം , itel, techno, infinix ithin ellam koodi oru service center aanu",Mixed Feelings,,,
ക്യാമറ കൂടി അടിപൊളി ആയാൽ INFINIX പിന്നെ വേറെ ലെവൽ ആയിരിക്കും....... 🔥,Mixed Feelings,,,
"ഈ 7 പ്ലസ് ഒക്കെ ഇപ്പൊ പോരാ . ram കുറവാണ്. multitasking പോരാ. 4 കൊല്ലം പഴുത് ആണ്. മാർക്കറ്റ് ഇൽ ഇപ്പൊ ഇല്ല.. camera ഡീസന്റ്, അത്രേ ഉള്ളു..",Mixed Feelings,,,
"ഒറ്റ പ്രോബ്ലം മാത്രേ കാണുന്നുള്ളൂ, ചാർജ് കപ്പാസിറ്റി വളരെ കുറവാണ്.. ക്യാമറ പെർഫോമൻസ് and ഡിസൈൻ ഒക്കെ പൊളിയാണ്...",Mixed Feelings,,,
vivek kuthanur ഹെവി യൂസ് ഒന്നും ഇല്ല ബ്രോ ചാർജ് പോയ്കൊണ്ടിരിക്കും ബാറ്ററി ഐഫോൺ പോരാ but ഹാങ്ങ് ഒരിക്കലും ആവില്ല ഇനി എടുക്കാനെകിൽ 11pro ബാറ്ററി pakkaya,Mixed Feelings,,,
ഞാനും വാങ്ങി ചാർജർ അടക്കം 42000 ക്യാമറ ദുരന്തം പക്ഷെ ഡിസ്പ്ലേ 👍👍👍👍.ക്യാമറ പോരാ എന്ന് അറിയാമായിരുന്നു ഇതിന്റെ ഡിസ്പ്ലേ ആണ് മെയിൻ,Mixed Feelings,,,
സംസ്‌ങ്ങിനെ വെല്ലാൻ ഇതുവരെ ഒരു applum വന്നിട്ടില്ല...curve ഡിസ്‌പ്ലൈ ഒരു പോരായ്മ ആണ് A73.. Disply സംസ്‌ങ്ങിനെ വെല്ലാൻ ഒരു കുഞ്ഞും ഇന്ന് markettil ഇല്ല,Mixed Feelings,,,
Same.. Phone.. No other complaints.. Pakshe. Battery week aaayi ഒന്നര വർഷം ആയി പക്ഷെ 1 day കിട്ടിയ കിട്ടി. 🤧 പിന്നെ ഡിസ്പ്ലേ കാര്യങ്ങൾ ഒക്കെ അടിപൊളിയാണ് ക്യാമറ കുറച്ചു വീക്ക്‌ ആണ്. ചെറിയ nickling issue okke kaaanunnund.. Automatically... Kai onnu nananja touch work aakila😂..Lag ithuvare vannittillla.. Ennaalum upgrade cheyyanam 😊😊😊m51 max 1.6 yrs,Mixed Feelings,,,
"Hi bro. Good review. Bro ഞാന്‍ ഈ phone use ചെയ്യുന്നുണ്ട്. എന്റെ ഫോണിൽ എനിക്ക് ഒരു problem ഉണ്ട്. ഈ ഫോണിന് stereo speaker ആണല്ലൊ Samsung കൊടുത്തിട്ടുള്ളത്. ഈ ഫോണിൽ ഏതു media work ചെയ്യുമ്പോളും dual speaker work ചെയ്യും. പക്ഷേ ഒരു call ചെയ്യുമ്പോൾ, ആ call ഞാന്‍ loud speaker il ഇട്ടാല്‍ ഒരു speaker മാത്രമേ work ആവുള്ളു. ഇത് എന്റെ ഫോണിന് മാത്രമുള്ളതാണോ അതോ ഈ model എല്ലാ ഫോണിലും ഉള്ളതാണോ?.ഈ ഒരു problem ഒഴികെ, this phone is marvelous in performance, camera, display and in all other aspects. ..Please Reply...",Mixed Feelings,,,
സാംസങ് A 72 ഉള്ളതുപോലെ ഒരു ടെലിഫോട്ടോ ലെൻസിൻ്റെ കുറവ് ഉണ്ട് ഇതിൽ.. അതു കൂടി ഉണ്ടായിരുന്നെങ്കിൽ ഇത് പൊളിച്ചേനെ..,Mixed Feelings,,,
വർഷങ്ങളായി samsung phone ഉപയോഗിക്കുന്നു.ഇവരുടെ വീഡിയോ quality നല്ലതും picture quality വളരെ മോശവുമാണ് അത് നന്നാക്കാതെ സാധാരണക്കാരൻ ഒരിക്കലും ഈ വിലക്ക് ഈ മോഡൽ അംഗീകരിക്കുമെന്ന് തോന്നുന്നില്ല,Mixed Feelings,,,
"ഐഫോൺ 14 pro യി ൽ always display off ആക്കാം ( display &amp; brightness - always off )..ക്യാമറ upgrade ഇതുകൂടി പറയണം .ഒരു ഫോട്ടോ 100 MB യാണ്,.കൂടുതൽ ഫോട്ടോസ് എടുക്കുവാൻ വേണ്ടി 1 TB വാങ്ങണം 😃",Mixed Feelings,,,
"Build quality ഒക്കെ ഉണ്ട്, പിന്നെ optimised ആയിട്ടുള്ള top level processor and videography - that&#39;s all, അവിടെ തീർന്നു iphone..Android അങ്ങനെ അല്ല. എല്ലാം ഉണ്ട്. More features better photography UI etc",Mixed Feelings,,,
ഒരു കാര്യം ഒഴിച്ച്.Processor.....Game കളിക്കുന്നവർക്ക് അത്ര നല്ല option അല്ല.But camera.അവരുടെ പുതിയ zooming technology പൊളി ആണ്,Mixed Feelings,,,
Android കിട്ടുന്ന രസം ഒന്നും I phonil കിട്ടില്ല privacy orianted ane Bro രണ്ടും രണ്ടും ടൈപ്പ് ആണ്,Mixed Feelings,,,
Back ക്യാമറ അല്ല front camera പോലും വീഡിയോക്ക് i phone ആണ് അടിപൊളി. But സെൽഫി camera അത് pro സീരീസ് ആയാലും ശോകം ആണ്,Mixed Feelings,,,
